Date,Year,Month,Payment type,Salary Amount,Amount payable,Monthly due,Total due,Comment
02-03-2025,2024,September,Full,30000,30000,0,0,
02-03-2025,2024,October,Full,30000,30000,0,0,Eid
02-03-2025,2024,November,Partial,30000,7000,23000,23000,Eid
26-04-2025,2024,November,Partial,30000,1200,21800,21800,Food
10-05-2025,2024,November,Partial,30000,10000,11800,11800,
05-06-2025,2024,December,Full,30000,30000,0,11800,
11-06-2025,2024,November,Partial,30000,11800,0,0,
06-06-2025,2025,January,Partial,40000,30000,10000,10000,
11-06-2025,2025,February,Partial,40000,8200,31800,41800,
18-07-2025,2025,February,Partial,40000,21800,10000,20000,
18-07-2025,2025,March,Partial,40000,8200,31800,51800,
09-08-2025,2025,March,Partial,40000,21800,10000,30000,
09-08-2025,2025,April,Partial,40000,8200,31800,61800,
18-08-2025,2025,May,Partial,40000,0,40000,101800,
18-08-2025,2025,June,Partial,40000,0,40000,141800,
18-08-2025,2025,July,Partial,40000,0,40000,181800,
28-09-2025,2025,April,Partial,40000,21800,10000,160000,
28-09-2025,2025,May,Partial,40000,8200,31800,151800,